hhid,pnum,parentTourNum,tourSubTourNum,personSubTourNum,parentTourMode,carAvailability,origTaz,origMaz,primDestTaz,primDestMaz,subTourPurp,subTourMode,prelimStartInt,finalStartMin,prelimArriveInt,finalArriveMin,totObStops,totIbStops,obStopSeq,ibStopSeq
1116,1,1,1,1,1,1,7,23761,66,25124,72,1,34,497.0,40,599,0,0,"[1-72]","[72-1]"
1116,1,1,2,2,1,1,7,23761,67,25061,9,1,49,722.0,49,734,0,0,"[1-9]","[9-1]"
1116,2,2,1,1,1,1,276,20926,251,20401,73,1,68,1007.0,68,1019,0,0,"[1-73]","[73-1]"
1116,2,2,2,2,1,1,276,20926,250,20498,8,1,77,1142.0,78,1169,0,0,"[1-8]","[8-1]"
1125,2,1,1,1,2,1,150,22212,150,22126,15,1,35,523.0,47,700,0,0,"[1-15]","[15-1]"
1126,1,1,1,1,1,1,8,23867,36,24313,61,1,46,690.0,47,703,0,0,"[1-61]","[61-1]"
1140,1,1,1,1,1,1,184,23323,67,25061,5,1,38,563.0,43,635,0,0,"[1-5]","[5-1]"
1151,1,1,1,1,1,1,103,22334,120,22094,72,3,35,512.0,39,585,0,0,"[1-72]","[72-1]"
1164,1,1,1,1,1,1,110,23526,66,25124,72,2,34,507.0,38,564,0,0,"[1-72]","[72-1]"
1177,1,1,1,1,2,1,37,24160,67,25061,72,1,40,591.0,45,663,0,0,"[1-72]","[72-1]"
1184,2,1,1,1,2,1,139,22876,134,23208,62,2,34,509.0,35,522,0,0,"[1-62]","[62-1]"
1190,1,2,1,1,4,0,1,23769,92,23753,61,14,29,427.0,34,499,0,0,"[1-61]","[61-1]"
1195,5,1,1,1,1,1,5,23906,67,24954,72,1,30,447.0,38,565,0,0,"[1-72]","[72-1]"
1200,2,1,1,1,1,1,18,22250,18,22250,5,14,34,505.0,37,548,0,1,"[1-5]","[5-5-1]"
1210,1,2,1,1,5,0,138,23257,134,23208,62,5,90,1347.0,94,1404,0,0,"[1-62]","[62-1]"
1211,1,1,1,1,1,1,28,23632,29,23126,61,1,48,707.0,54,809,0,1,"[1-61]","[61-72-1]"
1225,1,1,1,1,1,1,41,22132,145,22113,5,1,34,497.0,40,600,0,0,"[1-5]","[5-1]"
1254,1,1,1,1,1,1,116,22752,144,22988,72,1,35,522.0,46,685,0,0,"[1-72]","[72-1]"
1264,6,1,1,1,1,1,200,22265,186,23464,9,1,41,613.0,43,641,0,0,"[1-9]","[9-1]"
